300.0
Energy [keV]	Rate [cps]
0	0.00000
1	0.00000
2	0.00000
3	0.00000
4	0.00000
5	0.00000
6	0.00000
7	0.00000
8	0.00000
9	0.00000
10	0.00000
11	0.00000
12	0.00000
13	0.00000
14	0.00000
15	0.00000
16	0.00000
17	0.00000
18	0.00000
19	0.00000
20	0.00000
21	0.00000
22	0.00000
23	0.00000
24	0.00000
25	0.01283
26	0.09189
27	0.29767
28	0.25560
29	0.51882
30	0.49910
31	0.64408
32	0.64796
33	0.73595
34	0.70426
35	1.06136
36	1.17753
37	1.43563
38	1.37090
39	1.67390
40	2.00062
41	2.01393
42	2.28311
43	2.61550
44	3.20366
45	3.44462
46	3.79308
47	4.48632
48	5.20014
49	5.86421
50	6.23899
51	6.64860
52	7.29602
53	7.40766
54	7.49268
55	7.04566
56	7.72956
57	7.80241
58	8.82800
59	8.29358
60	9.97084
61	10.57992
62	12.23501
63	14.02512
64	14.52505
65	15.33197
66	16.70135
67	17.64217
68	18.39974
69	19.72275
70	19.85898
71	21.31833
72	21.76382
73	24.24362
74	25.86335
75	28.11790
76	32.06949
77	37.57259
78	42.51258
79	49.82801
80	56.91863
81	63.27434
82	68.95919
83	70.78094
84	71.24242
85	67.48099
86	60.68966
87	51.60831
88	42.33930
89	34.35815
90	29.02019
91	24.20993
92	22.60560
93	22.32264
94	22.58849
95	22.27139
96	23.64733
97	22.32195
98	20.84287
99	19.57497
100	16.97158
101	14.12591
102	11.29322
103	9.47659
104	8.34527
105	7.19940
106	6.03503
107	5.83741
108	5.39398
109	5.86166
110	4.94609
111	4.38046
112	5.41781
113	4.20320
114	4.73728
115	4.44137
116	5.28986
117	5.33709
118	5.62553
119	6.29352
120	6.33668
121	6.69735
122	7.10579
123	6.38347
124	6.20992
125	5.71343
126	6.57006
127	6.71670
128	6.15722
129	6.55692
130	5.64947
131	6.11716
132	5.92903
133	6.73122
134	6.75275
135	7.19670
136	7.01794
137	7.39096
138	8.15477
139	8.30804
140	9.08319
141	10.06920
142	10.11132
143	10.13827
144	10.88577
145	11.27081
146	11.97542
147	11.38766
148	12.17260
149	12.30799
150	12.53064
151	13.24246
152	12.96760
153	12.85827
154	12.98744
155	12.65795
156	11.86301
157	11.52631
158	11.03691
159	10.28744
160	10.16817
161	9.38996
162	7.83150
163	7.96366
164	6.81076
165	6.55852
166	6.09923
167	5.00026
168	5.38922
169	4.91028
170	4.68374
171	4.55573
172	4.86300
173	3.88615
174	3.77549
175	3.80389
176	3.29172
177	3.81692
178	3.93440
179	3.80441
180	3.45307
181	3.17520
182	3.77643
183	3.76356
184	3.34091
185	3.44775
186	3.27858
187	3.10300
188	2.74485
189	2.58464
190	3.10689
191	2.58047
192	2.72408
193	2.64875
194	2.95219
195	2.59929
196	2.04935
197	2.70894
198	2.30143
199	2.52580
200	2.36618
201	2.49056
202	2.98376
203	2.58081
204	2.27540
205	2.53630
206	2.13031
207	2.31283
208	2.10445
209	2.72771
210	2.65740
211	2.57667
212	2.38248
213	2.17327
214	1.65362
215	2.69361
216	2.46307
217	2.18799
218	2.31678
219	1.47548
220	1.76374
221	2.59159
222	2.23341
223	2.16717
224	2.03112
225	2.32618
226	2.39209
227	2.00748
228	2.24142
229	1.84793
230	2.23027
231	2.04375
232	1.97245
233	2.02083
234	1.57747
235	1.76373
236	1.94520
237	2.06912
238	1.93423
239	2.42708
240	2.06438
241	1.99294
242	1.84151
243	1.87829
244	1.92910
245	2.07359
246	2.38138
247	2.25036
248	2.21188
249	2.40842
250	2.73229
251	2.98229
252	3.12327
253	2.87345
254	3.49958
255	4.51323
256	4.61029
257	5.40613
258	5.69458
259	6.05208
260	6.10060
261	6.69452
262	7.34137
263	7.16473
264	7.97397
265	8.40177
266	8.77440
267	8.60842
268	8.41507
269	9.01830
270	8.82958
271	8.65631
272	8.18137
273	8.12366
274	8.29377
275	7.76884
276	7.19832
277	7.06801
278	6.65541
279	5.91039
280	6.15090
281	5.19158
282	4.84824
283	4.26123
284	4.21715
285	3.57460
286	3.45728
287	2.72407
288	2.46823
289	2.40577
290	2.10824
291	1.70002
292	1.22240
293	1.27539
294	1.26147
295	1.20334
296	1.07555
297	0.63521
298	0.90236
299	0.78755
300	0.68099
301	0.47909
302	0.95355
303	0.98653
304	0.90236
305	0.70509
306	0.98477
307	0.90168
308	0.83085
309	0.63402
310	1.28812
311	1.15542
312	1.10797
313	1.45042
314	1.36846
315	1.23420
316	1.46679
317	1.40719
318	1.56461
319	1.32857
320	1.71474
321	1.70674
322	1.80019
323	1.79725
324	1.49245
325	1.99182
326	2.06450
327	2.18854
328	2.20064
329	1.92231
330	2.17382
331	2.41985
332	2.16779
333	2.57446
334	2.10572
335	2.38414
336	2.57560
337	2.62460
338	3.06530
339	2.66180
340	3.05541
341	2.75233
342	2.53222
343	3.33983
344	3.36873
345	3.20462
346	3.11950
347	2.93442
348	3.27667
349	3.04244
350	3.29735
351	3.25263
352	3.03983
353	3.04517
354	2.82222
355	2.71183
356	2.99980
357	2.80225
358	2.45057
359	2.46187
360	2.29842
361	2.39168
362	2.15331
363	2.09520
364	1.96237
365	2.17641
366	1.46034
367	0.99484
368	1.53193
369	1.45332
370	1.10787
371	1.18054
372	1.01394
373	1.18387
374	1.28820
375	0.89226
376	0.74369
377	0.86931
378	0.85033
379	0.66066
380	0.74574
381	0.90902
382	0.84407
383	0.79190
384	0.86937
385	1.04533
386	0.69592
387	0.90745
388	0.92836
389	1.21306
390	1.17727
391	0.97843
392	1.34754
393	1.21894
394	1.07120
395	1.19064
396	1.30070
397	1.36538
398	1.57856
399	1.41655
400	1.15882
401	1.29615
402	1.16352
403	1.48894
404	1.63709
405	1.61047
406	1.39745
407	1.52743
408	1.54921
409	1.48766
410	1.33241
411	1.22338
412	1.33706
413	1.25895
