300.0
Energy [keV]	Rate [cps]
0	0.00000
1	0.00000
2	0.00000
3	0.00000
4	0.00000
5	0.00000
6	0.00000
7	0.00000
8	0.00000
9	0.00000
10	0.00000
11	0.00000
12	0.00000
13	0.00000
14	0.00000
15	0.00000
16	0.00000
17	0.00000
18	0.00000
19	0.00000
20	0.00000
21	0.00000
22	0.00000
23	0.00000
24	0.00000
25	0.00334
26	0.19715
27	0.26347
28	0.32884
29	0.32930
30	0.46313
31	0.53933
32	0.69375
33	0.75759
34	0.90256
35	1.04152
36	1.12137
37	1.24413
38	1.50547
39	1.64455
40	1.76016
41	2.10401
42	2.31948
43	2.55168
44	2.75599
45	2.96768
46	3.21350
47	3.41095
48	3.64258
49	3.87586
50	4.12660
51	4.35985
52	4.55958
53	4.79327
54	5.37875
55	5.65935
56	5.92595
57	6.47174
58	6.58731
59	7.38086
60	7.67457
61	7.97904
62	8.23182
63	8.39948
64	8.96770
65	9.39009
66	9.78203
67	10.03090
68	10.43948
69	11.00779
70	12.04759
71	12.66158
72	13.87082
73	14.07246
74	14.75567
75	15.58709
76	15.71889
77	15.33619
78	15.48266
79	15.02897
80	14.57739
81	14.51629
82	14.33988
83	14.49767
84	14.20179
85	14.69602
86	15.02046
87	14.93759
88	15.19313
89	15.44063
90	15.41483
91	15.17145
92	14.68681
93	14.83784
94	14.75400
95	14.96526
96	14.61720
97	14.38910
98	14.26991
99	13.89883
100	14.56010
101	14.25179
102	14.53587
103	14.51460
104	14.30017
105	14.51838
106	14.65780
107	14.84001
108	14.83477
109	14.83643
110	15.01027
111	15.21253
112	14.77204
113	15.47030
114	15.28759
115	15.07247
116	15.05482
117	14.68490
118	15.04637
119	14.91932
120	15.22309
121	14.97799
122	14.86044
123	15.02862
124	15.44810
125	15.64381
126	15.00014
127	14.80376
128	14.93425
129	14.93009
130	15.30308
131	15.16185
132	15.26631
133	15.05401
134	15.02691
135	14.83651
136	14.73509
137	14.43133
138	14.43757
139	14.23377
140	14.06462
141	13.79504
142	14.58905
143	14.20166
144	14.17598
145	14.42386
146	14.07028
147	14.26826
148	13.93812
149	14.22472
150	13.41237
151	13.55205
152	13.43814
153	13.51856
154	13.30611
155	13.08209
156	13.34299
157	12.90121
158	12.79107
159	13.09595
160	12.59322
161	12.40943
162	12.60102
163	12.37564
164	12.50353
165	11.92548
166	12.12053
167	12.33086
168	11.99219
169	11.81359
170	11.82975
171	11.67994
172	11.51317
173	11.68107
174	11.53834
175	11.17829
176	11.47232
177	11.29650
178	11.10025
179	11.00607
180	11.19103
181	11.00947
182	10.91424
183	10.93478
184	10.84825
185	10.63262
186	10.82501
187	10.69787
188	10.52830
189	10.51945
190	10.33012
191	10.32855
192	10.01554
193	10.31296
194	10.11890
195	10.09246
196	10.19337
197	9.63662
198	10.15217
199	9.47664
200	9.47725
201	9.45453
202	9.21485
203	9.13841
204	9.31130
205	9.03314
206	8.85617
207	8.99949
208	8.96714
209	8.79108
210	8.46221
211	8.46092
212	8.41886
213	8.59708
214	8.65547
215	8.01111
216	8.20348
217	8.26154
218	8.21757
219	8.44009
220	8.19166
221	7.85400
222	8.17845
223	7.99148
224	7.88400
225	7.93342
226	7.99891
227	7.93196
228	7.44248
229	7.87406
230	7.66406
231	7.83392
232	7.82450
233	7.78357
234	8.17471
235	7.94918
236	8.04927
237	7.84543
238	7.70325
239	7.51377
240	7.49810
241	7.14466
242	7.40003
243	7.29613
244	7.16736
245	7.02383
246	6.72155
247	6.78990
248	6.50080
249	6.61095
250	6.41526
251	6.20407
252	6.18992
253	6.30470
254	6.26719
255	5.92172
256	5.66795
257	5.57763
258	5.53398
259	5.47727
260	5.49696
261	5.30990
262	5.19520
263	5.50002
264	5.35265
265	5.09900
266	5.09804
267	5.07223
268	5.23789
269	4.73436
270	5.10437
271	4.83652
272	5.07419
273	4.83414
274	4.73562
275	4.75326
276	4.91423
277	4.77102
278	4.40965
279	4.87116
280	4.51787
281	4.82861
282	4.70185
283	4.55623
284	4.68647
285	4.44020
286	4.46066
287	4.72923
288	4.64550
289	4.59892
290	4.46805
291	4.55658
292	4.77132
293	4.48645
294	4.38275
295	4.32307
296	4.32373
297	4.34777
298	4.29936
299	4.37172
300	4.27556
301	4.40392
302	4.07684
303	4.15520
304	3.97200
305	3.97754
306	3.95439
307	3.89968
308	3.86824
309	3.88444
310	3.54474
311	3.74829
312	3.41829
313	3.52983
314	3.48473
315	3.60204
316	3.52352
317	3.46979
318	3.29718
319	3.35586
320	3.41902
321	3.27574
322	3.39657
323	3.35249
324	3.37036
325	3.26672
326	3.37366
327	3.28005
328	3.32848
329	3.39489
330	3.35878
331	3.12882
332	3.23367
333	3.27434
334	3.35445
335	3.43263
336	3.23770
337	3.20535
338	3.22519
339	3.38389
340	3.36688
341	3.43732
342	3.48947
343	3.33180
344	3.18818
345	3.33687
346	3.36741
347	3.25749
348	3.25379
349	3.20491
350	3.07831
351	3.10306
352	3.05391
353	3.14632
354	3.12710
355	3.10440
356	3.00807
357	2.96085
358	3.03485
359	3.00872
360	2.94451
361	2.75009
362	2.68291
363	2.74088
364	2.70351
365	2.51443
366	2.82412
367	2.90196
368	2.64282
369	2.55350
370	2.45240
371	2.42369
372	2.50338
373	2.36659
374	2.15778
375	2.42296
376	2.45965
377	2.23984
378	2.31728
379	2.29684
380	2.32953
381	2.20405
382	2.16709
383	2.11409
384	2.19574
385	2.20111
386	2.30870
387	2.18350
388	2.23155
389	2.04626
390	2.09681
391	2.16629
392	2.12041
393	2.03070
394	2.14565
395	2.03825
396	2.06867
397	2.00960
398	2.00343
399	2.11981
400	2.12755
401	2.21610
402	2.17763
403	1.95490
404	1.97901
405	1.94186
406	2.00948
407	1.90303
408	1.92524
409	1.86953
410	1.99511
411	1.97383
412	1.82801
413	1.94637
