300.0
Energy [keV]	Rate [cps]
0	0.00000
1	0.00000
2	0.00000
3	0.00000
4	0.00000
5	0.00000
6	0.00000
7	0.00000
8	0.00000
9	0.00000
10	0.00000
11	0.00000
12	0.00000
13	0.00000
14	0.00000
15	0.00000
16	0.00000
17	0.00000
18	0.00000
19	0.00000
20	0.00000
21	0.00000
22	0.00000
23	0.00000
24	0.00000
25	0.01834
26	0.16949
27	0.31097
28	0.31381
29	0.40594
30	0.54409
31	0.53457
32	0.66838
33	0.87256
34	0.93506
35	1.01340
36	1.06180
37	1.33384
38	1.47877
39	1.64587
40	1.90496
41	2.23741
42	2.28506
43	2.45264
44	2.74708
45	3.07057
46	3.43194
47	3.50110
48	3.75680
49	3.85717
50	4.11919
51	4.73175
52	4.93150
53	4.97903
54	5.39093
55	5.89908
56	6.03936
57	6.57339
58	6.89270
59	7.59583
60	7.64262
61	8.13777
62	8.45837
63	8.80484
64	9.20099
65	9.74765
66	10.19683
67	10.60426
68	11.19171
69	11.72000
70	12.21024
71	12.89384
72	13.26402
73	14.64837
74	14.76548
75	15.66406
76	15.52814
77	15.90775
78	15.83559
79	15.26680
80	15.15905
81	14.89461
82	14.49782
83	14.57973
84	15.06383
85	15.29066
86	15.26694
87	15.12809
88	14.98319
89	15.49135
90	15.43571
91	15.29290
92	15.15634
93	15.23041
94	15.19897
95	15.20647
96	15.23639
97	15.22989
98	14.92411
99	15.03955
100	14.81785
101	14.94780
102	14.81160
103	15.13654
104	14.94549
105	15.06319
106	14.91421
107	15.43704
108	15.30096
109	15.25265
110	15.28292
111	15.19701
112	15.35947
113	15.40581
114	15.64188
115	15.07278
116	15.47281
117	15.37126
118	15.55442
119	15.20259
120	15.34836
121	15.42397
122	15.48808
123	15.54640
124	15.45347
125	15.58888
126	15.75352
127	15.11979
128	15.44741
129	15.43131
130	15.67545
131	15.46804
132	15.42317
133	15.24315
134	15.28370
135	15.03146
136	14.80905
137	15.17527
138	15.08212
139	15.16571
140	14.75940
141	14.67689
142	14.57698
143	14.35413
144	14.62479
145	14.58860
146	14.64315
147	14.71948
148	14.47886
149	14.42839
150	13.94147
151	13.63707
152	13.52592
153	13.77484
154	13.24284
155	13.74999
156	13.47178
157	13.24774
158	13.20250
159	12.92365
160	12.59282
161	12.66719
162	12.51205
163	12.66637
164	12.09313
165	12.26085
166	12.30616
167	12.20613
168	12.51252
169	12.43384
170	12.25203
171	12.27357
172	12.15572
173	11.85885
174	11.60003
175	11.56760
176	11.19964
177	11.59582
178	11.30811
179	11.32298
180	11.28347
181	11.20740
182	11.10189
183	10.84313
184	11.20281
185	11.07576
186	11.17799
187	10.55721
188	10.90463
189	11.03433
190	10.45501
191	10.47254
192	10.14858
193	10.54275
194	10.23560
195	10.18559
196	9.64853
197	9.87360
198	9.83355
199	9.49903
200	9.69469
201	9.63331
202	9.28204
203	9.32198
204	9.42129
205	9.09489
206	9.03378
207	9.11789
208	9.36705
209	8.93678
210	8.89014
211	8.64055
212	8.74825
213	8.65102
214	8.71645
215	8.57042
216	8.51204
217	8.31712
218	8.57151
219	8.14240
220	8.19771
221	8.48747
222	8.05411
223	8.03108
224	7.95226
225	8.32199
226	7.95099
227	7.97434
228	7.99571
229	8.11573
230	7.91453
231	8.18013
232	7.97744
233	8.04656
234	7.86538
235	8.08704
236	7.96213
237	7.91484
238	7.87055
239	7.97145
240	7.69616
241	7.43652
242	7.36775
243	7.44555
244	7.19204
245	6.96372
246	6.98728
247	6.80578
248	6.76834
249	6.94188
250	6.72225
251	6.47455
252	6.38195
253	6.13661
254	6.12427
255	5.96117
256	6.22367
257	5.92821
258	5.78515
259	5.69574
260	5.62474
261	5.36243
262	5.18311
263	5.45449
264	5.31911
265	5.20053
266	5.17465
267	5.27723
268	5.13843
269	5.02215
270	4.97828
271	5.18775
272	5.12287
273	5.09448
274	4.86261
275	5.21691
276	5.01805
277	4.82480
278	4.83045
279	4.73515
280	4.66558
281	4.91026
282	4.63514
283	4.85269
284	4.88352
285	4.73717
286	4.93984
287	4.78074
288	4.46174
289	4.33618
290	4.64581
291	4.56421
292	4.62704
293	4.24253
294	4.13726
295	4.37256
296	4.49888
297	4.31361
298	4.44998
299	4.46976
300	4.14630
301	4.34484
302	4.22507
303	4.09191
304	4.06662
305	3.92916
306	3.94031
307	3.95569
308	3.75654
309	4.00012
310	3.80729
311	3.70101
312	3.53874
313	3.83882
314	3.70517
315	3.45216
316	3.65964
317	3.61936
318	3.49047
319	3.65967
320	3.41520
321	3.35984
322	3.41034
323	3.45589
324	3.51844
325	3.49860
326	3.49386
327	3.55881
328	3.35919
329	3.41880
330	3.35690
331	3.37922
332	3.36667
333	3.38595
334	3.58321
335	3.58510
336	3.35665
337	3.41404
338	3.38981
339	3.51158
340	3.52486
341	3.39458
342	3.38723
343	3.46932
344	3.32024
345	3.26405
346	3.26901
347	3.14614
348	3.26548
349	3.31287
350	3.37268
351	3.33190
352	3.18149
353	3.23377
354	3.23331
355	3.17243
356	3.08236
357	3.04395
358	3.03825
359	2.98371
360	2.86948
361	2.96173
362	2.86759
363	2.74052
364	2.84418
365	2.60061
366	2.63269
367	2.75003
368	2.72151
369	2.73211
370	2.44958
371	2.71273
372	2.47354
373	2.55255
374	2.47789
375	2.42806
376	2.26423
377	2.42540
378	2.29297
379	2.29029
380	2.22850
381	2.26283
382	2.30402
383	2.18906
384	2.17569
385	2.20334
386	2.15675
387	2.05157
388	2.15808
389	2.28756
390	2.11347
391	2.30830
392	2.05897
393	2.13063
394	2.08081
395	1.84034
396	2.16986
397	2.16316
398	2.04250
399	2.07196
400	1.88973
401	2.06395
402	2.08318
403	1.97654
404	2.00511
405	1.94090
406	1.93379
407	2.09351
408	1.98527
409	1.97733
410	2.09518
411	1.93860
412	1.81705
413	1.95979
