300.0
Energy [keV]	Rate [cps]
0	0.00000
1	0.00000
2	0.00000
3	0.00000
4	0.00000
5	0.00000
6	0.00000
7	0.00000
8	0.00000
9	0.00000
10	0.00000
11	0.00000
12	0.00000
13	0.00000
14	0.00000
15	0.00000
16	0.00000
17	0.00000
18	0.00000
19	0.00000
20	0.00000
21	0.00000
22	0.00000
23	0.00000
24	0.00000
25	0.02063
26	0.48082
27	0.74369
28	0.96861
29	1.18952
30	1.43029
31	1.81774
32	1.96291
33	2.27424
34	2.75182
35	3.19195
36	3.52649
37	3.99776
38	4.40714
39	4.98875
40	5.44124
41	6.09976
42	6.82613
43	7.87750
44	8.85474
45	9.60538
46	10.71024
47	12.44565
48	13.26374
49	15.08232
50	16.21795
51	17.62441
52	18.72506
53	19.48222
54	19.50509
55	20.06797
56	20.85170
57	22.16322
58	23.42362
59	25.28846
60	27.40853
61	29.75294
62	32.47305
63	35.69456
64	38.73452
65	40.78581
66	42.50177
67	45.49842
68	46.29198
69	48.91122
70	51.12020
71	54.33808
72	57.19521
73	61.89216
74	65.88518
75	71.55705
76	79.09927
77	88.23773
78	99.16688
79	110.22324
80	123.53323
81	138.20634
82	148.63623
83	153.59756
84	152.97914
85	144.51422
86	132.30894
87	116.33798
88	98.89046
89	83.36405
90	72.04047
91	64.14605
92	60.91469
93	58.51775
94	59.37443
95	60.37837
96	59.31558
97	57.98791
98	55.46395
99	51.13835
100	46.67181
101	42.06283
102	37.48688
103	33.79608
104	30.50246
105	28.79162
106	27.17511
107	26.13598
108	25.40747
109	24.81070
110	25.21775
111	25.18337
112	24.61618
113	25.30244
114	25.35846
115	25.35912
116	26.55477
117	26.30010
118	26.34195
119	26.91090
120	27.57852
121	27.95476
122	27.94999
123	28.55639
124	28.56417
125	28.47983
126	27.84755
127	28.24253
128	27.77374
129	27.94521
130	27.80403
131	28.00382
132	28.05329
133	27.76892
134	28.68945
135	28.93721
136	29.72402
137	30.50673
138	30.93916
139	31.89991
140	32.49441
141	33.37249
142	35.14082
143	35.43942
144	35.74332
145	37.29436
146	37.81505
147	38.02743
148	37.79979
149	38.63755
150	39.53078
151	39.10647
152	39.28568
153	39.51885
154	38.93555
155	38.35666
156	36.97938
157	35.43270
158	34.62686
159	33.88905
160	31.82762
161	30.24350
162	28.98156
163	27.51576
164	26.20434
165	24.72899
166	23.83359
167	22.98007
168	22.32366
169	21.32045
170	20.81222
171	20.78242
172	19.86649
173	19.54774
174	19.60129
175	19.22195
176	18.98217
177	19.03248
178	18.26390
179	18.85237
180	18.58493
181	17.56414
182	17.90357
183	17.56978
184	17.57210
185	17.04299
186	16.68424
187	16.91681
188	16.50429
189	16.77219
190	16.44094
191	16.09576
192	15.75949
193	15.80514
194	15.54878
195	15.55362
196	15.18090
197	14.93777
198	14.93367
199	14.39436
200	15.11794
201	14.45137
202	13.89310
203	13.79155
204	14.17725
205	13.89595
206	13.64747
207	13.80153
208	13.85810
209	13.47218
210	13.24906
211	13.06764
212	13.21704
213	13.25604
214	12.57308
215	12.67264
216	12.79647
217	12.62313
218	12.78187
219	12.63166
220	12.16302
221	12.71558
222	12.34013
223	12.77363
224	12.41703
225	12.15680
226	12.25593
227	11.89736
228	12.40445
229	11.80341
230	11.56584
231	11.88131
232	11.62451
233	11.79060
234	11.83163
235	11.66670
236	11.74316
237	11.81794
238	11.66797
239	11.89130
240	11.58835
241	11.46913
242	11.20194
243	10.98353
244	11.15376
245	11.22519
246	11.03954
247	11.34544
248	11.28494
249	11.03836
250	11.64965
251	11.98154
252	12.17234
253	12.94212
254	13.39293
255	14.27261
256	14.69567
257	15.35778
258	16.21800
259	16.98594
260	17.53157
261	18.99251
262	19.01702
263	19.83293
264	20.62026
265	20.88497
266	21.29055
267	21.88294
268	22.27065
269	21.74133
270	21.46188
271	21.15399
272	21.04823
273	21.18300
274	20.32225
275	19.65753
276	18.99749
277	18.49936
278	17.35637
279	16.52102
280	15.84584
281	14.80007
282	14.07334
283	13.33199
284	12.37965
285	11.73110
286	10.84304
287	9.86961
288	9.66881
289	9.19236
290	8.44816
291	7.90856
292	7.80116
293	7.18222
294	6.82841
295	6.61537
296	6.58999
297	6.45272
298	6.36231
299	6.09830
300	6.00751
301	5.78984
302	5.69590
303	5.76014
304	5.46786
305	5.68779
306	5.73180
307	5.70858
308	5.70387
309	5.39797
310	5.86127
311	6.06243
312	6.11663
313	6.09065
314	6.02912
315	6.16039
316	6.13363
317	6.18576
318	6.33803
319	6.36197
320	6.54316
321	6.49389
322	6.72176
323	6.86783
324	6.88615
325	6.97772
326	7.31869
327	7.41186
328	7.50715
329	7.35196
330	7.71633
331	7.83687
332	8.18574
333	8.18910
334	8.27513
335	8.36190
336	8.33091
337	8.67675
338	8.87629
339	8.80639
340	8.93192
341	9.09803
342	9.18904
343	9.13421
344	9.07659
345	9.43361
346	9.40275
347	9.35205
348	9.10160
349	9.31474
350	9.19538
351	9.09918
352	8.80734
353	8.70147
354	8.62247
355	8.46720
356	8.31305
357	8.14056
358	7.88162
359	7.70492
360	7.39266
361	7.02568
362	6.92090
363	6.69638
364	6.29252
365	6.08201
366	5.95813
367	5.55843
368	5.41589
369	5.32033
370	4.87580
371	4.67988
372	4.33320
373	4.26680
374	4.24605
375	4.15834
376	4.09429
377	3.96451
378	3.78721
379	3.89572
380	3.74230
381	3.72356
382	4.05394
383	3.95695
384	3.90605
385	3.90388
386	3.97155
387	3.95781
388	4.23205
389	3.93065
390	4.20292
391	4.10129
392	4.76091
393	4.59736
394	4.57016
395	4.36507
396	4.69603
397	4.79296
398	4.92331
399	4.71658
400	4.77736
401	4.90207
402	4.92601
403	5.02104
404	4.97870
405	4.74004
406	4.88920
407	4.65943
408	4.68001
409	4.55913
410	4.56362
411	4.52243
412	4.27884
413	4.26026
