300.0
Energy [keV]	Rate [cps]
0	0.00000
1	0.00000
2	0.00000
3	0.00000
4	0.00000
5	0.00000
6	0.00000
7	0.00000
8	0.00000
9	0.00000
10	0.00000
11	0.00000
12	0.00000
13	0.00000
14	0.00000
15	0.00000
16	0.00000
17	0.00000
18	0.00000
19	0.00000
20	0.00000
21	0.00000
22	0.00000
23	0.00000
24	0.00000
25	0.01728
26	0.28366
27	0.48022
28	0.63977
29	0.86022
30	0.96717
31	1.27841
32	1.26916
33	1.51665
34	1.84926
35	2.15042
36	2.40511
37	2.75362
38	2.90167
39	3.34421
40	3.68108
41	3.99575
42	4.50665
43	5.32582
44	6.09875
45	6.63770
46	7.49674
47	9.03470
48	9.62115
49	11.20646
50	12.09135
51	13.26456
52	14.16548
53	14.68895
54	14.12633
55	14.40862
56	14.92576
57	15.69148
58	16.83631
59	17.90760
60	19.73396
61	21.77390
62	24.24123
63	27.29508
64	29.76682
65	31.39572
66	32.71974
67	35.46751
68	35.85250
69	37.90342
70	39.07261
71	41.67651
72	43.32440
73	47.81970
74	51.12951
75	55.96996
76	63.38038
77	72.90154
78	83.68421
79	95.19427
80	108.95583
81	123.69005
82	134.29635
83	139.09989
84	138.77735
85	129.81820
86	117.28848
87	101.40038
88	83.69732
89	67.92342
90	56.62564
91	48.97460
92	46.22789
93	43.67990
94	44.62043
95	45.41311
96	44.69839
97	43.59880
98	41.19404
99	37.23951
100	32.11171
101	27.81104
102	22.95101
103	19.28148
104	16.20229
105	14.27324
106	12.51731
107	11.29597
108	10.57270
109	9.97427
110	10.20748
111	9.97085
112	9.84414
113	9.83214
114	10.07087
115	10.28666
116	11.49995
117	11.61520
118	11.29558
119	11.99158
120	12.35543
121	12.97677
122	13.08954
123	13.52777
124	13.11607
125	12.83602
126	12.84741
127	13.43877
128	12.83948
129	13.01512
130	12.50096
131	12.84198
132	12.78697
133	12.71490
134	13.66254
135	14.10069
136	14.98893
137	16.07539
138	16.50159
139	17.66614
140	18.42979
141	19.57745
142	20.55177
143	21.23777
144	21.56734
145	22.87050
146	23.74477
147	23.75917
148	23.86168
149	24.41283
150	26.11840
151	25.55442
152	25.84754
153	26.00029
154	25.62944
155	25.27457
156	23.63639
157	22.53149
158	21.83579
159	20.79309
160	19.23440
161	17.83407
162	16.38054
163	15.14012
164	13.70081
165	12.80351
166	11.71306
167	10.64921
168	10.33146
169	9.50687
170	8.98247
171	9.10248
172	8.35332
173	7.86668
174	8.06295
175	8.04366
176	7.50986
177	7.73597
178	7.16365
179	7.84629
180	7.39390
181	6.55468
182	6.98934
183	6.63500
184	6.72386
185	6.41038
186	5.85923
187	6.21893
188	5.97599
189	6.25274
190	6.11082
191	5.76721
192	5.74394
193	5.49218
194	5.42989
195	5.46117
196	4.98753
197	5.30115
198	4.78149
199	4.91772
200	5.64069
201	4.99684
202	4.67825
203	4.65314
204	4.86595
205	4.86281
206	4.79131
207	4.80204
208	4.89096
209	4.68110
210	4.78685
211	4.60671
212	4.79818
213	4.65896
214	3.91761
215	4.66154
216	4.59300
217	4.36159
218	4.56430
219	4.19157
220	3.97136
221	4.86158
222	4.16168
223	4.78214
224	4.53303
225	4.22337
226	4.25703
227	3.96540
228	4.96197
229	3.92935
230	3.90178
231	4.04739
232	3.80001
233	4.00702
234	3.65693
235	3.71752
236	3.69389
237	3.97251
238	3.96472
239	4.37753
240	4.09025
241	4.32447
242	3.80190
243	3.68740
244	3.98639
245	4.20137
246	4.31799
247	4.55554
248	4.78414
249	4.42742
250	5.23439
251	5.77747
252	5.98242
253	6.63742
254	7.12574
255	8.35089
256	9.02772
257	9.78015
258	10.68403
259	11.50867
260	12.03461
261	13.68260
262	13.82181
263	14.33291
264	15.26761
265	15.78597
266	16.19251
267	16.81071
268	17.03275
269	17.00697
270	16.35751
271	16.31746
272	15.97403
273	16.34886
274	15.58664
275	14.90426
276	14.08325
277	13.72833
278	12.94672
279	11.64986
280	11.32797
281	9.97147
282	9.37149
283	8.77577
284	7.69318
285	7.29089
286	6.38239
287	5.14038
288	5.02331
289	4.59344
290	3.98011
291	3.35197
292	3.02984
293	2.69577
294	2.44566
295	2.29229
296	2.26626
297	2.10495
298	2.06295
299	1.72658
300	1.73194
301	1.38592
302	1.61906
303	1.60493
304	1.49586
305	1.71026
306	1.77742
307	1.80890
308	1.83563
309	1.51353
310	2.31653
311	2.31414
312	2.69834
313	2.56082
314	2.54439
315	2.55835
316	2.61011
317	2.71597
318	3.04085
319	3.00611
320	3.12415
321	3.21815
322	3.32519
323	3.51533
324	3.51580
325	3.71100
326	3.94502
327	4.13181
328	4.17867
329	3.95707
330	4.35756
331	4.70805
332	4.95207
333	4.91476
334	4.92068
335	4.92926
336	5.09320
337	5.47140
338	5.65111
339	5.42250
340	5.56503
341	5.66071
342	5.69957
343	5.80241
344	5.88841
345	6.09673
346	6.03534
347	6.09456
348	5.84781
349	6.10983
350	6.11706
351	5.99611
352	5.75343
353	5.55514
354	5.49537
355	5.36281
356	5.30498
357	5.17971
358	4.84678
359	4.69620
360	4.44815
361	4.27558
362	4.23799
363	3.95550
364	3.58901
365	3.56758
366	3.13401
367	2.65647
368	2.77307
369	2.76682
370	2.42340
371	2.25619
372	1.82982
373	1.90021
374	2.08826
375	1.73538
376	1.63465
377	1.72467
378	1.46993
379	1.59888
380	1.41278
381	1.51951
382	1.88685
383	1.84286
384	1.71031
385	1.70277
386	1.66285
387	1.77430
388	2.00050
389	1.88439
390	2.10611
391	1.93499
392	2.64051
393	2.56667
394	2.42450
395	2.32682
396	2.62736
397	2.78335
398	2.91988
399	2.59677
400	2.64981
401	2.68598
402	2.74838
403	3.06613
404	2.99969
405	2.79818
406	2.87972
407	2.75640
408	2.75477
409	2.68960
410	2.56851
411	2.54860
412	2.45083
413	2.31388
