300.0
Energy [keV]	Rate [cps]
0	0.00000
1	0.00000
2	0.00000
3	0.00000
4	0.00000
5	0.00000
6	0.00000
7	0.00000
8	0.00000
9	0.00000
10	0.00000
11	0.00000
12	0.00000
13	0.00000
14	0.00000
15	0.00000
16	0.00000
17	0.00000
18	0.00000
19	0.00000
20	0.00000
21	0.00000
22	0.00000
23	0.00000
24	0.00000
25	0.00228
26	0.31133
27	0.43272
28	0.65480
29	0.78359
30	0.88620
31	1.28317
32	1.29454
33	1.40168
34	1.81676
35	2.17855
36	2.46469
37	2.66392
38	2.92836
39	3.34288
40	3.53628
41	3.86235
42	4.54107
43	5.42486
44	6.10766
45	6.53481
46	7.27830
47	8.94456
48	9.50694
49	11.22515
50	12.09876
51	12.89266
52	13.79356
53	14.50319
54	14.11416
55	14.16888
56	14.81234
57	15.58982
58	16.53092
59	17.69263
60	19.76591
61	21.61516
62	24.01467
63	26.88972
64	29.53353
65	31.03815
66	32.30494
67	34.89415
68	35.10027
69	37.19122
70	38.90996
71	41.44424
72	43.93119
73	47.24379
74	51.11970
75	55.89299
76	63.57114
77	72.32998
78	83.33129
79	94.95644
80	108.37417
81	123.31173
82	134.13841
83	139.01783
84	137.91530
85	129.22356
86	117.04200
87	101.20989
88	83.90726
89	67.87270
90	56.60476
91	48.85315
92	45.75835
93	43.28733
94	44.17546
95	45.17190
96	44.07919
97	42.75802
98	40.53984
99	36.09880
100	31.85397
101	27.11503
102	22.67529
103	18.65954
104	15.55697
105	13.72843
106	12.26089
107	10.69894
108	10.10651
109	9.55805
110	9.93482
111	9.98636
112	9.25671
113	9.89663
114	9.71658
115	10.28634
116	11.08196
117	10.92884
118	10.78753
119	11.70831
120	12.23016
121	12.53079
122	12.46191
123	13.00999
124	13.11070
125	12.89095
126	12.09403
127	13.12274
128	12.32633
129	12.51391
130	12.12858
131	12.53578
132	12.63012
133	12.52577
134	13.40575
135	13.90575
136	14.91497
137	15.33145
138	15.85704
139	16.73419
140	17.73501
141	18.69560
142	20.56384
143	21.08529
144	21.11853
145	22.70575
146	23.17190
147	23.30795
148	23.32094
149	24.20916
150	25.58931
151	25.46941
152	25.75976
153	25.74401
154	25.69271
155	24.60667
156	23.50760
157	22.18496
158	21.42436
159	20.96540
160	19.23481
161	17.57631
162	16.46951
163	14.84940
164	14.11121
165	12.46814
166	11.52743
167	10.77393
168	9.81114
169	8.88661
170	8.56019
171	8.50885
172	7.71077
173	7.68889
174	8.00126
175	7.65436
176	7.78253
177	7.43666
178	6.95579
179	7.52939
180	7.30146
181	6.35675
182	6.80168
183	6.72665
184	6.36930
185	5.96723
186	5.50625
187	6.35960
188	5.59966
189	5.73785
190	5.98593
191	5.62321
192	5.61091
193	5.26239
194	5.31319
195	5.36803
196	5.53237
197	5.06417
198	5.10012
199	4.89533
200	5.42326
201	4.81805
202	4.61106
203	4.46957
204	4.75596
205	4.80107
206	4.61369
207	4.68365
208	4.49105
209	4.53540
210	4.35892
211	4.42709
212	4.46879
213	4.60502
214	3.85663
215	4.10222
216	4.28444
217	4.30601
218	4.21036
219	4.48925
220	3.96531
221	4.22812
222	4.28603
223	4.74255
224	4.46477
225	3.83481
226	4.30495
227	3.92302
228	4.40874
229	3.68769
230	3.65131
231	3.70118
232	3.64707
233	3.74404
234	3.96626
235	3.57965
236	3.78103
237	3.90310
238	3.79742
239	3.91985
240	3.89219
241	4.03260
242	3.83419
243	3.53799
244	3.96172
245	4.26147
246	4.05226
247	4.53965
248	4.51660
249	4.09648
250	4.92740
251	5.50699
252	5.79039
253	6.80551
254	7.26866
255	8.31143
256	8.47200
257	9.42957
258	10.43286
259	11.29020
260	11.90683
261	13.63008
262	13.83391
263	14.37844
264	15.30115
265	15.68444
266	16.11590
267	16.60571
268	17.13222
269	16.71918
270	16.48360
271	15.96623
272	15.92536
273	16.08851
274	15.45964
275	14.44062
276	13.97943
277	13.67456
278	12.52592
279	11.78587
280	11.18026
281	9.88982
282	9.43820
283	8.47931
284	7.49613
285	6.99393
286	5.90320
287	5.08887
288	5.20707
289	4.85618
290	3.80235
291	3.34435
292	3.17411
293	2.93970
294	2.69115
295	2.24281
296	2.09111
297	2.13910
298	1.91233
299	1.62854
300	1.86121
301	1.44500
302	1.47083
303	1.66822
304	1.40125
305	1.75863
306	1.79149
307	1.75289
308	1.94733
309	1.39785
310	2.05398
311	2.36141
312	2.57789
313	2.25183
314	2.32395
315	2.70822
316	2.47399
317	2.56640
318	2.84757
319	2.70231
320	3.12796
321	3.13405
322	3.31142
323	3.41193
324	3.36771
325	3.47912
326	3.82483
327	3.85305
328	4.14796
329	3.93316
330	4.35943
331	4.45764
332	4.81907
333	4.80316
334	4.69193
335	4.77680
336	4.97426
337	5.26271
338	5.48648
339	5.29481
340	5.40706
341	5.70346
342	5.80181
343	5.66489
344	5.75636
345	6.16956
346	6.13374
347	6.20591
348	5.83612
349	6.00187
350	5.82269
351	5.76728
352	5.62585
353	5.46770
354	5.38916
355	5.29477
356	5.23068
357	5.09661
358	4.84338
359	4.72122
360	4.52318
361	4.06395
362	4.05331
363	3.95586
364	3.44834
365	3.48139
366	3.32544
367	2.80840
368	2.69438
369	2.58822
370	2.42622
371	1.96715
372	1.85967
373	1.71424
374	1.76815
375	1.73027
376	1.83007
377	1.53911
378	1.49424
379	1.60543
380	1.51381
381	1.46073
382	1.74992
383	1.76789
384	1.73036
385	1.70054
386	1.81479
387	1.90624
388	2.07397
389	1.64309
390	2.08945
391	1.79299
392	2.70194
393	2.46673
394	2.48935
395	2.52472
396	2.52617
397	2.62980
398	2.88082
399	2.64462
400	2.88763
401	2.83812
402	2.84283
403	3.04449
404	2.97358
405	2.79914
406	2.95541
407	2.56592
408	2.69474
409	2.58180
410	2.46844
411	2.58383
412	2.46178
413	2.30047
