300.0
Energy [keV]	Rate [cps]
0	0.00000
1	0.00000
2	0.00000
3	0.00000
4	0.00000
5	0.00000
6	0.00000
7	0.00000
8	0.00000
9	0.00000
10	0.00000
11	0.00000
12	0.00000
13	0.00000
14	0.00000
15	0.00000
16	0.00000
17	0.00000
18	0.00000
19	0.00000
20	0.00000
21	0.00000
22	0.00000
23	0.00000
24	0.00000
25	0.01617
26	0.28904
27	0.56114
28	0.58444
29	0.84812
30	0.96223
31	1.18340
32	1.34171
33	1.49355
34	1.60682
35	2.10289
36	2.29890
37	2.67976
38	2.87637
39	3.31845
40	3.76078
41	4.11793
42	4.60259
43	5.16718
44	5.95965
45	6.41230
46	7.00658
47	7.89727
48	8.84272
49	9.74007
50	10.36559
51	11.00845
52	11.85560
53	12.20093
54	12.87144
55	12.70501
56	13.65551
57	14.27414
58	15.41531
59	15.67444
60	17.64541
61	18.55896
62	20.46683
63	22.42460
64	23.49275
65	24.72206
66	26.48338
67	27.67308
68	28.83921
69	30.73054
70	31.90657
71	33.97990
72	35.63464
73	38.31609
74	40.61902
75	43.70499
76	47.78839
77	52.90877
78	57.99524
79	64.85698
80	71.49603
81	77.79063
82	83.29907
83	85.27862
84	85.44421
85	82.17701
86	75.71012
87	66.54591
88	57.53244
89	49.79878
90	44.43502
91	39.38138
92	37.29241
93	37.16048
94	37.34248
95	37.23665
96	38.26453
97	36.71106
98	35.11278
99	33.47381
100	31.53168
101	28.37770
102	25.82910
103	23.99118
104	22.64544
105	21.71778
106	20.69283
107	20.67742
108	20.22875
109	20.69810
110	19.95636
111	19.59299
112	20.18985
113	19.67350
114	20.02487
115	19.51384
116	20.34468
117	20.02199
118	20.67190
119	21.21284
120	21.55977
121	21.67534
122	21.96623
123	21.41209
124	21.65802
125	21.35724
126	21.57020
127	21.52046
128	21.09147
129	21.48701
130	20.95255
131	21.27901
132	21.19534
133	21.78523
134	21.77967
135	22.03321
136	21.75304
137	21.82230
138	22.59234
139	22.54181
140	23.14781
141	23.86424
142	24.70037
143	24.33992
144	25.06175
145	25.69467
146	26.04570
147	25.65592
148	26.11071
149	26.53271
150	25.94302
151	26.79451
152	26.40574
153	26.37683
154	26.29355
155	25.74004
156	25.20600
157	24.42752
158	23.82798
159	23.38339
160	22.76139
161	21.79939
162	20.43252
163	20.33930
164	19.31429
165	18.48400
166	18.21976
167	17.33112
168	17.38141
169	16.72387
170	16.51350
171	16.23567
172	16.37617
173	15.56722
174	15.31382
175	14.98218
176	14.76404
177	15.11343
178	15.03465
179	14.81048
180	14.64410
181	14.18467
182	14.69067
183	14.69835
184	14.18915
185	14.08037
186	14.10359
187	13.80088
188	13.27315
189	13.10408
190	13.43701
191	12.90902
192	12.73962
193	12.96170
194	13.07109
195	12.69174
196	12.24271
197	12.34556
198	12.45361
199	12.00243
200	11.84344
201	11.94509
202	12.19861
203	11.71922
204	11.58670
205	11.56944
206	10.98648
207	11.31233
208	11.07159
209	11.51879
210	11.11961
211	11.03759
212	10.80134
213	10.77035
214	10.30909
215	10.70472
216	10.66654
217	10.44953
218	10.53434
219	9.91557
220	9.95540
221	10.44559
222	10.41186
223	10.15865
224	9.91513
225	10.25960
226	10.39100
227	9.93945
228	9.68390
229	9.72199
230	9.89432
231	9.87767
232	9.79695
233	9.80440
234	9.75218
235	9.71291
236	9.99447
237	9.91456
238	9.63747
239	9.94085
240	9.56248
241	9.13760
242	9.24154
243	9.17442
244	9.09647
245	9.09741
246	9.10294
247	9.04026
248	8.71268
249	9.01936
250	9.14755
251	9.18636
252	9.31319
253	9.17815
254	9.76677
255	10.43495
256	10.27824
257	10.98376
258	11.22856
259	11.52935
260	11.59756
261	12.00442
262	12.53658
263	12.66475
264	13.32663
265	13.50077
266	13.87244
267	13.68065
268	13.65296
269	13.75267
270	13.93395
271	13.49283
272	13.25556
273	12.95779
274	13.02938
275	12.52210
276	12.11255
277	11.83904
278	11.06506
279	10.78155
280	10.66878
281	10.02019
282	9.55009
283	8.81746
284	8.90361
285	8.01480
286	7.91793
287	7.45330
288	7.11373
289	7.00469
290	6.57629
291	6.25660
292	5.99372
293	5.76184
294	5.64422
295	5.52642
296	5.39928
297	4.98298
298	5.20172
299	5.15928
300	4.95655
301	4.88301
302	5.03039
303	5.14173
304	4.87437
305	4.68262
306	4.93916
307	4.80136
308	4.69908
309	4.51847
310	4.83286
311	4.90371
312	4.52626
313	4.98025
314	4.85318
315	4.83624
316	4.99031
317	4.87699
318	4.86179
319	4.68443
320	5.13375
321	4.98248
322	5.19677
323	5.14975
324	4.86281
325	5.25854
326	5.43816
327	5.46859
328	5.52912
329	5.31720
330	5.53260
331	5.54867
332	5.40146
333	5.84880
334	5.46018
335	5.81678
336	5.81331
337	5.82995
338	6.29049
339	6.04569
340	6.42230
341	6.18966
342	6.02170
343	6.67163
344	6.55691
345	6.54149
346	6.48692
347	6.19191
348	6.53045
349	6.24735
350	6.37566
351	6.35569
352	6.09374
353	6.19149
354	5.94932
355	5.81623
356	6.00786
357	5.76310
358	5.48542
359	5.47059
360	5.24293
361	5.14177
362	4.83621
363	4.83608
364	4.66588
365	4.69084
366	4.28445
367	3.89680
368	4.17475
369	4.00682
370	3.56027
371	3.60423
372	3.51732
373	3.55046
374	3.44598
375	3.31522
376	3.20334
377	3.10915
378	3.16761
379	2.95751
380	3.07526
381	3.11307
382	3.01117
383	2.90600
384	3.06511
385	3.24643
386	3.00462
387	3.09095
388	3.15990
389	3.25932
390	3.27407
391	3.14473
392	3.46795
393	3.24963
394	3.21686
395	3.22889
396	3.36937
397	3.37498
398	3.58199
399	3.53636
400	3.28637
401	3.51225
402	3.34115
403	3.44384
404	3.61609
405	3.55233
406	3.40692
407	3.43046
408	3.47445
409	3.35719
410	3.32752
411	3.19721
412	3.16507
413	3.20532
