300.0
Energy [keV]	Rate [cps]
0	0.00000
1	0.00000
2	0.00000
3	0.00000
4	0.00000
5	0.00000
6	0.00000
7	0.00000
8	0.00000
9	0.00000
10	0.00000
11	0.00000
12	0.00000
13	0.00000
14	0.00000
15	0.00000
16	0.00000
17	0.00000
18	0.00000
19	0.00000
20	0.00000
21	0.00000
22	0.00000
23	0.00000
24	0.00000
25	0.00835
26	0.11818
27	0.29276
28	0.25507
29	0.41575
30	0.43499
31	0.59463
32	0.62369
33	0.72027
34	0.83894
35	1.04518
36	1.23683
37	1.30408
38	1.63174
39	1.72464
40	1.95996
41	2.21416
42	2.12745
43	2.54688
44	2.92750
45	3.37794
46	3.78857
47	4.44544
48	4.92119
49	5.68508
50	6.10335
51	6.51280
52	7.34052
53	6.73081
54	6.75736
55	7.29365
56	7.21628
57	7.24961
58	8.06701
59	8.53285
60	9.65556
61	10.53519
62	11.93247
63	13.28361
64	14.15913
65	15.30480
66	16.17738
67	17.28419
68	17.34774
69	18.94748
70	18.60370
71	20.70623
72	21.69931
73	23.88439
74	25.51606
75	28.08740
76	31.31796
77	35.68901
78	41.15120
79	47.05780
80	55.02640
81	61.02283
82	65.83750
83	68.77866
84	69.14945
85	64.89970
86	57.12467
87	49.77094
88	39.86845
89	34.11489
90	27.11550
91	24.15275
92	22.00487
93	21.22363
94	22.10745
95	21.28128
96	22.56002
97	21.01853
98	20.61339
99	18.77119
100	15.37303
101	13.23112
102	10.68946
103	9.49262
104	8.21244
105	6.63623
106	5.90816
107	5.53944
108	5.09446
109	5.10684
110	5.51688
111	4.79286
112	5.01642
113	4.11844
114	4.62622
115	4.96700
116	5.26235
117	6.00933
118	5.83207
119	5.81309
120	5.72809
121	6.15955
122	6.77865
123	6.13510
124	5.54065
125	5.73546
126	6.44333
127	6.52277
128	6.38903
129	5.70059
130	5.89150
131	6.04555
132	5.52020
133	6.63958
134	6.47362
135	6.47440
136	7.64035
137	7.97286
138	8.49089
139	8.55212
140	9.39472
141	10.34365
142	9.73388
143	10.06619
144	10.74508
145	10.90110
146	11.25790
147	11.24614
148	11.74708
149	11.36348
150	13.15834
151	12.56932
152	12.82742
153	13.71512
154	12.78862
155	12.83651
156	11.40205
157	11.18582
158	11.14879
159	9.89284
160	9.43743
161	8.68202
162	7.65344
163	7.34285
164	6.44786
165	6.42527
166	5.67211
167	4.87072
168	5.32900
169	4.90593
170	4.51216
171	4.79980
172	3.87859
173	3.35029
174	4.32574
175	3.69164
176	3.69348
177	3.57858
178	3.92943
179	4.18094
180	3.36426
181	3.60769
182	3.71729
183	3.11981
184	3.17000
185	3.27911
186	3.36340
187	2.60255
188	2.84937
189	2.83700
190	2.71486
191	2.68788
192	2.89104
193	2.44313
194	2.51207
195	2.54513
196	1.80014
197	2.52357
198	2.12370
199	2.39779
200	2.53608
201	2.54093
202	2.48478
203	2.56476
204	2.11721
205	2.48664
206	2.40027
207	2.17269
208	2.17592
209	2.24119
210	2.76215
211	2.42956
212	2.34135
213	2.09195
214	1.92856
215	2.28829
216	2.21758
217	2.16227
218	2.07542
219	1.80157
220	1.90171
221	2.35589
222	1.50418
223	1.88622
224	1.72035
225	1.95519
226	2.01582
227	2.26726
228	2.43414
229	1.81079
230	2.30842
231	2.13931
232	2.04983
233	1.93596
234	1.83228
235	1.42445
236	1.63453
237	1.90466
238	1.95849
239	2.22582
240	1.86859
241	2.18589
242	1.83918
243	1.86767
244	1.62932
245	1.66690
246	2.24853
247	2.14101
248	2.33818
249	2.09064
250	2.54223
251	2.26836
252	3.35392
253	2.93830
254	3.09854
255	3.96055
256	4.55668
257	4.87806
258	5.61854
259	5.90162
260	6.38412
261	6.45165
262	6.99583
263	6.89360
264	7.46318
265	8.25184
266	7.98226
267	8.35467
268	8.06142
269	8.57733
270	8.30534
271	8.51240
272	8.35739
273	8.31655
274	7.94591
275	7.45644
276	7.05018
277	6.89067
278	6.59386
279	5.89494
280	5.75019
281	4.84922
282	4.45099
283	4.04579
284	3.91767
285	3.68856
286	3.04040
287	2.44230
288	2.37217
289	1.90120
290	2.01029
291	1.53580
292	1.27851
293	1.48566
294	1.27790
295	1.13732
296	0.91336
297	1.06813
298	0.92888
299	0.67194
300	0.82198
301	0.65766
302	0.81031
303	0.78707
304	0.76748
305	0.72500
306	0.97249
307	1.00961
308	1.03163
309	1.01722
310	1.31193
311	1.03568
312	1.44230
313	1.41965
314	1.28270
315	0.97488
316	1.28175
317	1.41147
318	1.67353
319	1.59629
320	1.46710
321	1.91655
322	1.70572
323	1.68579
324	1.98535
325	1.88991
326	1.96891
327	2.03674
328	1.86938
329	2.03682
330	2.10225
331	2.28141
332	2.47600
333	2.63023
334	2.64639
335	2.36176
336	2.56749
337	2.75206
338	2.71520
339	2.68900
340	2.78057
341	2.55166
342	2.81128
343	3.04398
344	3.08213
345	3.12773
346	2.88358
347	3.03842
348	3.06663
349	3.09716
350	3.16482
351	2.97823
352	3.30919
353	2.82020
354	2.57391
355	2.66540
356	2.91156
357	2.82466
358	2.52948
359	2.33606
360	2.45963
361	2.09057
362	2.33306
363	1.78281
364	1.81806
365	1.89732
366	1.52645
367	1.08855
368	1.07651
369	1.26135
370	1.14662
371	1.02828
372	1.02971
373	1.22222
374	0.96881
375	0.71956
376	0.77109
377	0.98262
378	0.69077
379	0.81719
380	0.68381
381	0.81655
382	0.89683
383	1.08352
384	0.95572
385	0.92060
386	0.85168
387	0.77519
388	0.80963
389	1.11161
390	1.22186
391	0.89575
392	1.12324
393	1.32883
394	1.42785
395	1.39414
396	1.12036
397	1.36311
398	1.30153
399	1.42485
400	1.26523
401	1.17667
402	1.33357
403	1.37809
404	1.34726
405	1.36710
406	1.47105
407	1.31526
408	1.48333
409	1.43738
410	1.25920
411	1.24553
412	1.07228
413	1.28163
