300.0
Energy [keV]	Rate [cps]
0	0.00000
1	0.00000
2	0.00000
3	0.00000
4	0.00000
5	0.00000
6	0.00000
7	0.00000
8	0.00000
9	0.00000
10	0.00000
11	0.00000
12	0.00000
13	0.00000
14	0.00000
15	0.00000
16	0.00000
17	0.00000
18	0.00000
19	0.00000
20	0.00000
21	0.00000
22	0.00000
23	0.00000
24	0.00000
25	-0.00665
26	0.14584
27	0.24526
28	0.27010
29	0.33911
30	0.35402
31	0.59939
32	0.64907
33	0.60530
34	0.80644
35	1.07331
36	1.29641
37	1.21437
38	1.65844
39	1.72332
40	1.81517
41	2.08076
42	2.16187
43	2.64592
44	2.93640
45	3.27506
46	3.57014
47	4.35529
48	4.80698
49	5.70376
50	6.11076
51	6.14090
52	6.96861
53	6.54505
54	6.74519
55	7.05392
56	7.10287
57	7.14795
58	7.76163
59	8.31788
60	9.68750
61	10.37646
62	11.70592
63	12.87825
64	13.92584
65	14.94724
66	15.76258
67	16.71083
68	16.59551
69	18.23527
70	18.44105
71	20.47397
72	22.30611
73	23.30849
74	25.50625
75	28.01042
76	31.50872
77	35.11745
78	40.79828
79	46.81997
80	54.44474
81	60.64451
82	65.67956
83	68.69660
84	68.28741
85	64.30506
86	56.87819
87	49.58045
88	40.07839
89	34.06417
90	27.09461
91	24.03130
92	21.53534
93	20.83106
94	21.66248
95	21.04007
96	21.94082
97	20.17775
98	19.95919
99	17.63048
100	15.11529
101	12.53511
102	10.41373
103	8.87068
104	7.56712
105	6.09142
106	5.65175
107	4.94241
108	4.62826
109	4.69063
110	5.24422
111	4.80837
112	4.42900
113	4.18293
114	4.27193
115	4.96668
116	4.84437
117	5.32297
118	5.32401
119	5.52981
120	5.60283
121	5.71358
122	6.15102
123	5.61732
124	5.53527
125	5.79039
126	5.68995
127	6.20674
128	5.87587
129	5.19938
130	5.51912
131	5.73936
132	5.36334
133	6.45045
134	6.21684
135	6.27946
136	7.56639
137	7.22892
138	7.84634
139	7.62018
140	8.69995
141	9.46180
142	9.74595
143	9.91371
144	10.29628
145	10.73635
146	10.68503
147	10.79492
148	11.20634
149	11.15982
150	12.62925
151	12.48430
152	12.73963
153	13.45885
154	12.85189
155	12.16861
156	11.27326
157	10.83929
158	10.73736
159	10.06515
160	9.43783
161	8.42426
162	7.74241
163	7.05212
164	6.85826
165	6.08989
166	5.48649
167	4.99544
168	4.80868
169	4.28568
170	4.08988
171	4.20617
172	3.23604
173	3.17251
174	4.26404
175	3.30234
176	3.96616
177	3.27926
178	3.72157
179	3.86404
180	3.27182
181	3.40975
182	3.52963
183	3.21146
184	2.81544
185	2.83597
186	3.01042
187	2.74321
188	2.47304
189	2.32211
190	2.58997
191	2.54388
192	2.75801
193	2.21333
194	2.39536
195	2.45199
196	2.34498
197	2.28659
198	2.44232
199	2.37540
200	2.31865
201	2.36215
202	2.41759
203	2.38119
204	2.00722
205	2.42490
206	2.22265
207	2.05430
208	1.77601
209	2.09548
210	2.33421
211	2.24993
212	2.01195
213	2.03801
214	1.86759
215	1.72898
216	1.90902
217	2.10669
218	1.72148
219	2.09926
220	1.89567
221	1.72243
222	1.62853
223	1.84663
224	1.65209
225	1.56662
226	2.06374
227	2.22488
228	1.88091
229	1.56913
230	2.05794
231	1.79311
232	1.89689
233	1.67297
234	2.14161
235	1.28659
236	1.72167
237	1.83525
238	1.79119
239	1.76814
240	1.67053
241	1.89402
242	1.87147
243	1.71826
244	1.60465
245	1.72701
246	1.98280
247	2.12512
248	2.07064
249	1.75971
250	2.23525
251	1.99788
252	3.16189
253	3.10639
254	3.24146
255	3.92109
256	4.00095
257	4.52748
258	5.36737
259	5.68315
260	6.25634
261	6.39913
262	7.00792
263	6.93913
264	7.49672
265	8.15032
266	7.90564
267	8.14968
268	8.16089
269	8.28954
270	8.43143
271	8.16117
272	8.30871
273	8.05621
274	7.81892
275	6.99280
276	6.94636
277	6.83690
278	6.17307
279	6.03095
280	5.60248
281	4.76757
282	4.51770
283	3.74933
284	3.72062
285	3.39160
286	2.56122
287	2.39079
288	2.55593
289	2.16394
290	1.83252
291	1.52818
292	1.42278
293	1.72959
294	1.52339
295	1.08784
296	0.73821
297	1.10228
298	0.77826
299	0.57391
300	0.95125
301	0.71673
302	0.66208
303	0.85036
304	0.67286
305	0.77338
306	0.98657
307	0.95360
308	1.14332
309	0.90154
310	1.04938
311	1.08295
312	1.32185
313	1.11066
314	1.06225
315	1.12476
316	1.14563
317	1.26190
318	1.48025
319	1.29249
320	1.47092
321	1.83245
322	1.69195
323	1.58239
324	1.83727
325	1.65803
326	1.84871
327	1.75798
328	1.83867
329	2.01291
330	2.10412
331	2.03100
332	2.34300
333	2.51863
334	2.41764
335	2.20929
336	2.44855
337	2.54336
338	2.55058
339	2.56130
340	2.62260
341	2.59440
342	2.91353
343	2.90646
344	2.95008
345	3.20055
346	2.98198
347	3.14976
348	3.05493
349	2.98921
350	2.87046
351	2.74939
352	3.18162
353	2.73276
354	2.46770
355	2.59737
356	2.83727
357	2.74156
358	2.52609
359	2.36107
360	2.53466
361	1.87894
362	2.14838
363	1.78317
364	1.67739
365	1.81114
366	1.71787
367	1.24048
368	0.99781
369	1.08274
370	1.14944
371	0.73924
372	1.05956
373	1.03625
374	0.64870
375	0.71446
376	0.96651
377	0.79705
378	0.71508
379	0.82374
380	0.78484
381	0.75777
382	0.75991
383	1.00855
384	0.97576
385	0.91837
386	1.00363
387	0.90712
388	0.88310
389	0.87031
390	1.20520
391	0.75374
392	1.18467
393	1.22890
394	1.49269
395	1.59205
396	1.01917
397	1.20956
398	1.26246
399	1.47270
400	1.50305
401	1.32882
402	1.42802
403	1.35645
404	1.32116
405	1.36806
406	1.54674
407	1.12478
408	1.42330
409	1.32958
410	1.15912
411	1.28076
412	1.08323
413	1.26821
