30.0
Energy [keV]	Rate [cps]
0	0.00000
1	0.00000
2	0.00000
3	0.00000
4	0.00000
5	0.00000
6	0.00000
7	0.00000
8	0.00000
9	0.00000
10	0.00000
11	0.00000
12	0.00000
13	0.00000
14	0.00000
15	0.00000
16	0.00000
17	0.00000
18	0.00000
19	0.00000
20	0.00000
21	0.00000
22	0.00000
23	0.00000
24	0.00000
25	3.81405
26	30.48089
27	51.35731
28	57.21836
29	69.83158
30	88.79769
31	90.12723
32	121.68825
33	143.53285
34	173.92565
35	198.62159
36	217.25750
37	293.87496
38	294.87710
39	349.33262
40	404.12584
41	438.97468
42	506.59299
43	558.35633
44	601.71387
45	685.48841
46	713.75776
47	784.80074
48	862.96306
49	952.34931
50	1022.45207
51	1118.80514
52	1195.86882
53	1299.56567
54	1353.32386
55	1451.94301
56	1630.63054
57	1707.38439
58	1869.51352
59	2038.47878
60	2178.14893
61	2342.46010
62	2563.59884
63	2777.85260
64	2969.16577
65	3166.99633
66	3461.27412
67	3744.97587
68	3993.67996
69	4315.41279
70	4679.21682
71	4990.74396
72	5278.87047
73	5678.14914
74	5914.07386
75	6308.27860
76	6780.88207
77	7201.39148
78	7527.83953
79	7844.47113
80	8340.30476
81	8690.98600
82	9211.66496
83	9631.80554
84	10057.63474
85	10586.65253
86	11145.85979
87	11629.73544
88	12050.73650
89	12738.69078
90	13292.95547
91	13888.55428
92	14387.17731
93	14969.81106
94	15373.40064
95	15954.27565
96	16521.72675
97	16894.17706
98	17251.00754
99	17780.31189
100	18111.27428
101	18304.84571
102	18795.88048
103	18903.60204
104	19321.26301
105	19506.79829
106	19726.58730
107	20089.65643
108	20329.14984
109	20553.60634
110	20918.10105
111	21155.39577
112	21841.98385
113	22451.95894
114	22947.60741
115	23758.74863
116	24630.62856
117	25496.68348
118	26679.57964
119	27913.89223
120	29558.46604
121	31029.48393
122	32584.40378
123	34363.60823
124	36311.68729
125	38241.98210
126	40585.19153
127	42962.02617
128	45332.52012
129	47918.47063
130	50694.02328
131	53574.86741
132	56108.90558
133	58689.18657
134	61559.17674
135	63762.75646
136	66194.02729
137	68706.08533
138	70255.45811
139	71987.44017
140	73008.84741
141	73413.01177
142	73295.57279
143	73058.65545
144	72299.70185
145	70841.30817
146	68501.80902
147	65813.21149
148	63335.87103
149	59961.50140
150	56234.15965
151	52348.43649
152	48597.40898
153	44630.53910
154	40366.54990
155	36989.42162
156	33245.90572
157	30153.99483
158	27264.98596
159	24526.30999
160	22371.18484
161	20487.48473
162	18610.14873
163	17394.89397
164	16375.61611
165	15285.81260
166	14553.23205
167	13885.65008
168	13229.49865
169	12959.42476
170	12593.36754
171	12474.60554
172	12077.12276
173	11941.93981
174	11751.30272
175	11547.27943
176	11440.65783
177	11357.83517
178	11432.93112
179	11266.56775
180	11033.42383
181	10982.13521
182	10986.36514
183	10813.69446
184	10846.80552
185	10695.74263
186	10854.20607
187	10763.72580
188	10575.02646
189	10517.98666
190	10622.00601
191	10549.84402
192	10459.70416
193	10417.33767
194	10504.37398
195	10384.34058
196	10455.88315
197	10326.38433
198	10498.71365
199	10335.05944
200	10359.76869
201	10341.28825
202	10152.11261
203	10229.16206
204	10043.35751
205	10314.61838
206	10261.91977
207	10252.39527
208	10306.18529
209	10321.80594
210	10242.01388
211	10225.57172
212	10281.24797
213	10277.72910
214	10472.61416
215	10355.36278
216	10271.26963
217	10205.18431
218	10254.94974
219	10385.00255
220	10440.39530
221	10456.29985
222	10377.31726
223	10359.41542
224	10518.89703
225	10450.00195
226	10508.40890
227	10464.26561
228	10502.25270
229	10614.67096
230	10439.04098
231	10470.95698
232	10470.96990
233	10441.13005
234	10603.11808
235	10626.51575
236	10720.67532
237	10501.11120
238	10573.15353
239	10504.88185
240	10552.28466
241	10582.19561
242	10630.19728
243	10519.52324
244	10531.69584
245	10494.89052
246	10574.18743
247	10538.06100
248	10448.26608
249	10619.22492
250	10659.68584
251	10513.04797
252	10514.27143
253	10652.29266
254	10697.12555
255	10582.55787
256	10672.74650
257	10751.50146
258	10671.69369
259	10646.06471
260	10988.29736
261	10867.40112
262	10994.16360
263	10993.74423
264	11030.30835
265	11217.64389
266	11151.29914
267	11298.61288
268	11463.89415
269	11445.80992
270	11419.62180
271	11587.62802
272	11780.19464
273	11765.67255
274	11817.03328
275	11797.13483
276	11877.89747
277	12026.96932
278	11964.20388
279	12011.47905
280	12022.82437
281	12118.58787
282	11874.10495
283	11805.60791
284	11717.50081
285	11602.26938
286	11521.17517
287	11281.03918
288	11152.75630
289	10889.29658
290	10726.83964
291	10540.34893
292	10236.01871
293	9981.71112
294	9708.31219
295	9463.19031
296	9281.56397
297	8928.86830
298	8797.87115
299	8288.48325
300	8080.68998
301	7828.69770
302	7484.09657
303	7258.24279
304	6858.36190
305	6802.03814
306	6533.03549
307	6263.63223
308	6047.06839
309	5874.14981
310	5709.52428
311	5526.45926
312	5377.46615
313	5230.79533
314	5087.16147
315	5084.67297
316	4868.15978
317	4922.33756
318	4750.82393
319	4740.11710
320	4695.14337
321	4632.51951
322	4548.71837
323	4490.50181
324	4520.89294
325	4379.42615
326	4312.15490
327	4364.45843
328	4242.17244
329	4252.36295
330	4238.16228
331	4272.12912
332	4346.91893
333	4224.56454
334	4310.79152
335	4357.09015
336	4220.65834
337	4186.45283
338	4257.88972
339	4216.16241
340	4261.71003
341	4227.42430
342	4216.21855
343	4273.28345
344	4272.87967
345	4212.25084
346	4247.11157
347	4257.19317
348	4324.31794
349	4192.07464
350	4185.63075
351	4102.91959
352	4289.14028
353	4218.51890
354	4213.10970
355	4308.07396
356	4271.33287
357	4325.22484
358	4354.71493
359	4295.35876
360	4240.82468
361	4290.32967
362	4286.56604
363	4340.25337
364	4279.53848
365	4265.61599
366	4311.53208
367	4371.20918
368	4337.37989
