300.0
Energy [keV]	Rate [cps]
0	0.00000
1	0.00000
2	0.00000
3	0.00000
4	0.00000
5	0.00000
6	0.00000
7	0.00000
8	0.00000
9	0.00000
10	0.00000
11	0.00000
12	0.00000
13	0.00000
14	0.00000
15	0.00000
16	0.00000
17	0.00000
18	0.00000
19	0.00000
20	0.00000
21	0.00000
22	0.00000
23	0.00000
24	0.00000
25	0.35338
26	5.68416
27	10.32423
28	13.61069
29	18.24815
30	22.29590
31	26.83115
32	31.18456
33	35.47336
34	40.84221
35	46.68475
36	51.76058
37	58.56988
38	66.83274
39	74.98868
40	83.60043
41	93.67803
42	104.63286
43	118.11908
44	134.30438
45	152.09001
46	173.38736
47	195.51245
48	223.21537
49	248.88002
50	272.65965
51	295.19678
52	308.35318
53	316.47304
54	325.30621
55	327.60837
56	338.22681
57	354.17295
58	376.98463
59	413.41620
60	452.64208
61	500.18150
62	551.04202
63	601.89345
64	649.19211
65	693.43486
66	732.30196
67	765.65573
68	805.76376
69	845.44013
70	894.51286
71	953.25498
72	1019.48511
73	1106.24723
74	1212.67207
75	1342.81823
76	1506.36473
77	1714.42723
78	1967.22310
79	2252.94022
80	2561.29797
81	2844.05362
82	3065.72538
83	3181.45456
84	3156.87807
85	2979.56105
86	2687.73915
87	2317.89913
88	1938.84045
89	1592.87770
90	1326.03381
91	1151.82651
92	1064.06863
93	1034.67986
94	1042.65360
95	1054.56027
96	1048.19061
97	1016.77648
98	946.59563
99	857.20952
100	749.68674
101	636.84522
102	533.86361
103	449.15359
104	380.87230
105	330.49434
106	295.20139
107	275.58871
108	259.55624
109	251.65711
110	249.94214
111	247.69446
112	249.16238
113	253.34451
114	257.63957
115	264.65872
116	271.34289
117	281.09393
118	290.81515
119	302.19720
120	311.85479
121	320.88906
122	327.83079
123	333.37563
124	337.07083
125	335.56920
126	331.79034
127	329.36698
128	327.99906
129	327.71131
130	326.95029
131	326.61579
132	331.84351
133	341.18249
134	350.22341
135	361.99842
136	376.91957
137	394.69923
138	414.78985
139	437.79692
140	462.70794
141	487.87619
142	510.56406
143	531.55021
144	551.14141
145	569.38882
146	583.48182
147	597.83621
148	611.73689
149	622.90029
150	631.87051
151	635.06703
152	639.47905
153	635.95276
154	631.32313
155	617.14501
156	595.90860
157	569.91399
158	536.97891
159	503.11264
160	470.35864
161	434.83740
162	399.33156
163	369.38332
164	339.61764
165	313.56564
166	291.02623
167	271.08422
168	253.46014
169	240.57251
170	228.89479
171	220.92062
172	212.68523
173	207.68671
174	200.80423
175	198.90088
176	193.65183
177	190.70630
178	184.88935
179	182.26893
180	178.85955
181	173.94599
182	173.26690
183	169.56709
184	166.65150
185	163.17024
186	159.43511
187	157.05708
188	154.05360
189	150.76064
190	149.13240
191	146.47366
192	143.85901
193	141.15481
194	138.94560
195	138.85136
196	135.23648
197	134.37900
198	132.33225
199	131.20633
200	128.15433
201	127.18756
202	125.66645
203	123.64260
204	123.36233
205	121.61243
206	119.36453
207	119.59526
208	117.96357
209	116.21435
210	114.14864
211	115.42274
212	114.75546
213	113.57897
214	113.39165
215	110.98693
216	111.78678
217	110.67960
218	110.33760
219	108.57916
220	108.81160
221	108.85879
222	108.04421
223	108.90727
224	107.80507
225	107.89041
226	108.53655
227	106.86922
228	105.86165
229	106.90982
230	103.82306
231	104.74561
232	104.30486
233	103.49678
234	103.80772
235	103.76838
236	101.28461
237	101.35495
238	100.47133
239	100.85344
240	101.05952
241	101.53625
242	102.58172
243	103.59231
244	105.13216
245	107.14924
246	110.99593
247	114.63127
248	120.10888
249	127.59255
250	136.78328
251	145.99000
252	157.46456
253	170.87156
254	187.72381
255	205.75290
256	223.02539
257	240.88952
258	261.41329
259	282.48342
260	302.14068
261	322.39207
262	339.49855
263	357.65334
264	371.40487
265	384.44639
266	391.25081
267	398.11296
268	404.37206
269	403.93427
270	402.87281
271	398.79561
272	390.03811
273	381.24502
274	371.22232
275	356.55256
276	338.65080
277	320.80105
278	303.66683
279	286.39623
280	264.54378
281	245.10737
282	224.39054
283	203.73938
284	186.24492
285	167.56456
286	149.08039
287	133.11877
288	118.16221
289	105.52783
290	93.98093
291	84.73087
292	75.61699
293	67.63691
294	62.64588
295	56.64611
296	52.97729
297	50.61502
298	49.12688
299	46.25028
300	45.44075
301	45.44947
302	44.50479
303	45.25311
304	46.69444
305	47.01351
306	48.58608
307	50.34304
308	52.22799
309	52.84168
310	55.78764
311	56.92893
312	59.66714
313	61.79328
314	63.32070
315	66.09702
316	69.31858
317	71.01042
318	72.96756
319	75.38695
320	78.18653
321	81.37979
322	83.70823
323	86.72285
324	89.18544
325	92.32659
326	94.59617
327	98.16567
328	101.19068
329	104.74866
330	108.70496
331	110.55751
332	114.89280
333	116.39238
334	120.47957
335	123.61325
336	127.18307
337	130.53762
338	133.68796
339	136.06808
340	138.36206
341	140.97632
342	142.73346
343	143.28754
344	145.86830
345	146.55506
346	147.24655
347	145.87634
348	146.72639
349	146.14037
350	145.19699
351	143.31341
352	140.81698
353	138.16937
354	134.01393
355	132.31308
356	126.68782
357	122.70000
358	118.28591
359	113.05003
360	107.58339
361	102.94596
362	96.47535
363	91.17453
364	85.92323
365	81.18175
366	75.86612
367	70.08648
368	64.74368
369	61.20191
370	56.61133
371	53.05888
372	49.91866
373	47.57253
374	44.39211
375	43.21898
376	41.50563
377	40.25436
378	40.12367
379	39.63559
380	39.94426
381	40.94171
382	41.12519
383	41.86935
384	43.03862
385	45.38345
386	46.64654
387	48.71000
388	50.63887
389	52.18412
390	53.89169
391	56.15754
392	58.15273
393	59.70478
394	61.83217
395	63.63450
396	64.92049
397	66.66231
398	67.56504
399	68.18429
400	69.04215
401	71.08400
402	71.03827
403	70.93979
404	71.62192
405	70.39085
406	70.55196
407	69.36016
408	69.09014
409	67.37857
410	65.45132
